,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
SGI_56528,0.18785675211963265,0.2842544469939252,0.26595651260097786,0.28637330783636317,0.33532463285025355,0.40668915506438147,0.41785385983795775,0.432178325913451,0.4324667487961859,0.4171174952714222,0.39480258743345753,0.39805580419458475,0.3889503421256745,0.3918104014377105,0.38425984485393533,0.4089739799119686,0.40820700062603665,0.4179328135879801,0.4142316551430523,0.40745935695235513,0.41500024573000516,0.3982024325874835,0.38972376661568986,0.3881350238091166,0.3966733079186822,0.4371636912720085,0.44550378535600776,0.43858324747139094,0.42125048238994195,0.41632634647017736,0.4258007964728658,0.39462051041809976,0.37303391064156616,0.39075661057006456,0.3614277093882728,0.36151794224544126,0.3713855496972209,0.38816886113055477,0.40555963304875486,0.3763016291118812,0.36058822155640197,0.34844384576213955,0.3367844715751576,0.3345399292530921,0.3226807537395229,0.3113742544761105,0.31673827557457135,0.3169090734827831
SGI_136964,0.17536804663570793,0.25641960845201633,0.2993955989667876,0.3202134176464776,0.31532146738746875,0.33197566587152594,0.34830804409502164,0.3482013352717829,0.3514155856987593,0.3597529888350953,0.3624545852329668,0.3631137521701695,0.36484057193670866,0.3755772298050729,0.3817846909537454,0.39009329964571543,0.39569410137338207,0.411603596482561,0.41149660536084803,0.4097025985574548,0.40395923610032886,0.3958248055669259,0.39341312970203396,0.39011221364348525,0.40900532132623824,0.4248476293985631,0.43574660888957895,0.4412782474910723,0.44061004700269596,0.434628706931839,0.43715979505130775,0.4271094047736672,0.4235501856112468,0.429829068273886,0.439472948748712,0.45012350558245234,0.47476477479639223,0.49762107075811257,0.5187595805044674,0.5238344601747428,0.527645771874603,0.5207633350741739,0.5142529676627098,0.5172628339943822,0.5237257752621847,0.5219978263017488,0.5266478467683882,0.5323022852061484
SGI_136486,0.11880576109657151,0.22126837091444718,0.28662867644218926,0.33269332982145217,0.3619529974281124,0.3625177284672677,0.3470944963022876,0.30042596319828646,0.29276137053698503,0.292006895868472,0.28759794389903437,0.290218055928773,0.2993338498659916,0.2947051552744125,0.3011655883653715,0.29528383584521234,0.29443066449044053,0.28209912852176067,0.26057590116411916,0.24657342129738063,0.24504512261000905,0.2283469332517167,0.22068579047458542,0.21060972877835685,0.21992681595715485,0.2169929144628975,0.21323584060665224,0.21414076022397607,0.2118683365206019,0.212250073703776,0.2107885227753484,0.21479098839256533,0.21110726207367647,0.19969039539497518,0.19029051099609384,0.18520553172427287,0.17909398691938969,0.18763935000882398,0.20920397597650717,0.2229205654420159,0.23396589459508962,0.23360050686298273,0.2291593059763025,0.23597342719218267,0.23062040691983832,0.2373881796918675,0.2479781241344829,0.24960001967933995
SGI_132260,0.15447613316527325,0.32418516626095795,0.27959742130335813,0.31924996305769704,0.2689294062983295,0.23419070323122013,0.21786821298320563,0.18175149863206885,0.17999604756481946,0.1937049453516554,0.21980170168405028,0.2075562732453675,0.19355895449210725,0.19270793460352187,0.1446662595541738,0.16338513635038066,0.15504229284010623,0.1297039768268272,0.09001226679309736,0.07675558459559344,0.07464405826115353,0.05277747610298228,0.04134746002616585,0.06365201476298146,0.07319483192368802,0.07933713028272488,0.10576147586093508,0.13257750423305487,0.097970549014806,0.10006071083321448,0.09765720277967832,0.09195287699928582,0.09081699689694799,0.09792425923007123,0.0975859877262402,0.12047094514857641,0.13395195476441035,0.1215213671867885,0.10889137745953995,0.12017896342948016,0.1150942086139992,0.11861935375918559,0.13185467144065807,0.1327412988559625,0.12588684996254457,0.09549938666050363,0.0897736963640797,0.08427233348598581
SGI_58096,0.040965646935339266,0.1460497255690888,0.26710983796549387,0.26863615490586257,0.3352211847543242,0.3804465242395749,0.3886029170584505,0.4048675952854737,0.4249764929697579,0.4717150291924515,0.5013010867901424,0.5060156130414817,0.523845968817651,0.5228532067962651,0.528066300758785,0.529890008965472,0.5107520062976975,0.5243182961229801,0.5078043340403665,0.48025190789617545,0.48453346745096326,0.4669349019264831,0.45017602938925455,0.441319892414336,0.4345498677046205,0.4335658524851851,0.42559751590824607,0.40574227548052744,0.409499026918283,0.4025803065754084,0.41162449979226345,0.4093590780870744,0.4116901008068925,0.4279853928407426,0.43447114648706564,0.4439745468063239,0.466134569548009,0.4876954363560823,0.5123876582624478,0.5331700596969233,0.5147755351949443,0.5315912619448514,0.5224421071045899,0.5007281712623822,0.499910345280007,0.47930287988454223,0.47680566792766393,0.47597472174236294
SGI_136969,0.19420775791656048,0.3516691464623493,0.382191579874684,0.39025545380332555,0.4435759341152681,0.49175590435783495,0.47958884301955723,0.4638676418208387,0.4911712315859818,0.49419099310655673,0.4937111004013439,0.520383914165312,0.5067310714820741,0.49933569437859804,0.5089649825028464,0.5193926947348944,0.5070978017153154,0.5433684695835398,0.5255097550253581,0.4990548838000019,0.5207254971825596,0.4975732936577073,0.5021542781712235,0.5277855780727866,0.5006978352449226,0.513824681993626,0.492124730192409,0.4965736918219584,0.49273455018025586,0.48814727886274123,0.4986294767294421,0.4904775875448226,0.4858672646126471,0.46580816865501806,0.4583855487342155,0.45964290953389975,0.4651606278431807,0.4941260294652397,0.5004861795103092,0.5045453592919563,0.5157023407878211,0.4987552128094105,0.4961042771234096,0.49963536536918945,0.48491167040488714,0.4939940065812729,0.5018273643633057,0.4798277415714972
SGI_57525,0.06557985837922896,0.2431219512195122,0.248,0.33133595594020454,0.40254917387883554,0.4096176239181747,0.4902470495672699,0.47269236821400473,0.4840220298977183,0.5006011014948859,0.4682108575924469,0.4514492525570417,0.49043587726199844,0.4695892997639654,0.481441384736428,0.4888182533438238,0.48350590086546025,0.4547726199842644,0.42977183320220297,0.42824232887490166,0.44613690007867823,0.4188387096774194,0.3917104642014162,0.3938882769472856,0.3587033831628639,0.35249095200629427,0.3211707317073171,0.31708575924468924,0.2791188040912667,0.2748701809598741,0.2974539732494099,0.29429425649095203,0.2922612116443745,0.29207238394964596,0.2868733280881196,0.29600629425649094,0.2668764752163651,0.25773721479150274,0.2601542092840283,0.2611298190401259,0.2713202202989772,0.2533564122738002,0.2531424075531078,0.24128402832415421,0.22408182533438237,0.2222564909520063,0.22248308418568058,0.23220141620771045
SGI_57128,0.07756506758712849,0.2005350023525728,0.24923523113165402,0.2602387359108045,0.3002698719415892,0.3589051813069588,0.4015710261091948,0.4432411501399765,0.46902241557483754,0.47708459280529525,0.4662802321804356,0.45328844687669867,0.4463136599490355,0.43191047996449106,0.4161765112663522,0.42218086556913764,0.38601091341877014,0.38797706681510213,0.3993836014303174,0.3653173069732923,0.38690548160391797,0.34887685068016916,0.31970697360404143,0.2848156533649541,0.27242288103325074,0.2784493624642908,0.2453455980863381,0.2310815029079651,0.25197425350773384,0.2681744724083791,0.3002951600881658,0.29206228786831595,0.2971262392202835,0.3006476136310774,0.2680669977854285,0.26519837365814347,0.2735229154093336,0.30407257698304796,0.33745134995502135,0.34942212634072745,0.36565237491543245,0.37491257808995737,0.3901233982557925,0.3950498453107497,0.3935625861902124,0.39466262056629525,0.39967125409762644,0.3852775571680483
SGI_136050,0.029286754732600857,0.003667110434588995,0.034868397586509975,0.05425472535716841,0.11926785041202694,0.14826154479443981,0.22083447006697626,0.26084684801073305,0.2969568960283026,0.3330823682748294,0.31547561092011506,0.29351150888497424,0.27342530672538007,0.21158186072123886,0.20565702877303066,0.19201044220309327,0.1710932597084266,0.17722439071893817,0.15229690869538343,0.13324605790454544,0.12842020226954215,0.083024768419701,0.06409152737466213,0.04720006863784079,0.011286679539476327,0.011755190494053155,0.005350279419550189,-0.012146580303843673,-0.0031426866500420935,0.021987238378576707,0.035909533041125145,0.02838829339584036,0.05148993231657923,0.04334786745576465,0.026924919673520144,0.014707002310749133,0.0230090935469953,0.06163714694183784,0.07011661681109252,0.07948876393124872,0.05564290596332197,0.05099828501856651,0.050325403030305964,0.05440703961812137,0.039439753443718445,0.04175531581592737,0.04082022193539338,0.027094586192050022
SGI_126793,0.05637190897694491,0.22148762361893654,0.25596084780719197,0.25039093822219,0.3570394993549856,0.45298142237209893,0.5009170535109768,0.5350001075297368,0.5309232900894183,0.49707065152508473,0.5068679166472972,0.48126415135143047,0.4750644395243296,0.4790275853404644,0.4619737695068484,0.4945514425566889,0.49047769732242935,0.5032427134976545,0.5090123164764927,0.49313822776954,0.5035898727823237,0.49480950786564654,0.5001121355235139,0.48984482287427134,0.493617491914747,0.5182258624474916,0.5108433512876682,0.5027972436190967,0.48277567673246796,0.4665482843287281,0.46961127376957035,0.4399061133849128,0.4320535546980595,0.4192025167531818,0.4020565347377952,0.37649578032675474,0.36933754020923976,0.40502735799686684,0.42943296292971606,0.4276818054760751,0.41033305786079316,0.408231668916424,0.4234943886176318,0.4345451138119242,0.4381334504888587,0.42421942924756034,0.42832696874846915,0.39824392701855227
