gwicid,date,month,SGI
130860,1993-08-31,8,1.0055718699476897
130860,1993-09-30,9,
130860,1993-10-31,10,
130860,1993-11-30,11,
130860,1993-12-31,12,1.9562581975734443
130860,1994-01-31,1,
130860,1994-02-28,2,
130860,1994-03-31,3,0.6741891400433162
130860,1994-04-30,4,
130860,1994-05-31,5,
130860,1994-06-30,6,0.8761327206940052
130860,1994-07-31,7,
130860,1994-08-31,8,
130860,1994-09-30,9,1.0475088289994479
130860,1994-10-31,10,
130860,1994-11-30,11,
130860,1994-12-31,12,0.273964958062626
130860,1995-01-31,1,
130860,1995-02-28,2,
130860,1995-03-31,3,-0.21004571595350718
130860,1995-04-30,4,
130860,1995-05-31,5,
130860,1995-06-30,6,1.6151809689481884
130860,1995-07-31,7,
130860,1995-08-31,8,
130860,1995-09-30,9,1.6135062264098177
130860,1995-10-31,10,
130860,1995-11-30,11,
130860,1995-12-31,12,1.4421865760473662
130860,1996-01-31,1,
130860,1996-02-29,2,
130860,1996-03-31,3,0.33160840002661685
130860,1996-04-30,4,
130860,1996-05-31,5,
130860,1996-06-30,6,0.9456287698562365
130860,1996-07-31,7,
130860,1996-08-31,8,
130860,1996-09-30,9,
130860,1996-10-31,10,
130860,1996-11-30,11,
130860,1996-12-31,12,1.2014686029319006
130860,1997-01-31,1,
130860,1997-02-28,2,
130860,1997-03-31,3,
130860,1997-04-30,4,
130860,1997-05-31,5,
130860,1997-06-30,6,
130860,1997-07-31,7,
130860,1997-08-31,8,
130860,1997-09-30,9,0.6766759095902322
130860,1997-10-31,10,
130860,1997-11-30,11,
130860,1997-12-31,12,
130860,1998-01-31,1,1.373097552515663
130860,1998-02-28,2,
130860,1998-03-31,3,1.085361742677018
130860,1998-04-30,4,0.19371458519132245
130860,1998-05-31,5,
130860,1998-06-30,6,0.7703278419894213
130860,1998-07-31,7,
130860,1998-08-31,8,
130860,1998-09-30,9,
130860,1998-10-31,10,1.1686252897770397
130860,1998-11-30,11,1.2278606083523869
130860,1998-12-31,12,0.5306107806429954
130860,1999-01-31,1,0.11273931210780153
130860,1999-02-28,2,0.5961161326463422
130860,1999-03-31,3,0.5080814882509783
130860,1999-04-30,4,1.3540857077473452
130860,1999-05-31,5,1.46551579998392
130860,1999-06-30,6,0.432902004004301
130860,1999-07-31,7,
130860,1999-08-31,8,0.6458015699248325
130860,1999-09-30,9,
130860,1999-10-31,10,
130860,1999-11-30,11,0.21004571595350763
130860,1999-12-31,12,0.2107364264327789
130860,2000-01-31,1,0.5737708103431913
130860,2000-02-29,2,
130860,2000-03-31,3,
130860,2000-04-30,4,0.4479453420139399
130860,2000-05-31,5,0.3055466185475779
130860,2000-06-30,6,
130860,2000-07-31,7,
130860,2000-08-31,8,
130860,2000-09-30,9,
130860,2000-10-31,10,0.7793052405687909
130860,2000-11-30,11,0.7600021729729732
130860,2000-12-31,12,0.8520716655790693
130860,2001-01-31,1,-0.026209577656477467
130860,2001-02-28,2,0.5576231264407836
130860,2001-03-31,3,0.06950781841421372
130860,2001-04-30,4,0.9857662895049585
130860,2001-05-31,5,0.7914320469704261
130860,2001-06-30,6,
130860,2001-07-31,7,
130860,2001-08-31,8,
130860,2001-09-30,9,
130860,2001-10-31,10,
130860,2001-11-30,11,
130860,2001-12-31,12,0.8292629861569886
130860,2002-01-31,1,
130860,2002-02-28,2,
130860,2002-03-31,3,-0.06950781841421372
130860,2002-04-30,4,
130860,2002-05-31,5,
130860,2002-06-30,6,-0.19365883980951892
130860,2002-07-31,7,
130860,2002-08-31,8,
130860,2002-09-30,9,
130860,2002-10-31,10,
130860,2002-11-30,11,
130860,2002-12-31,12,
130860,2003-01-31,1,
130860,2003-02-28,2,
130860,2003-03-31,3,0.23267287501001266
130860,2003-04-30,4,
130860,2003-05-31,5,
130860,2003-06-30,6,0.20744547206678843
130860,2003-07-31,7,
130860,2003-08-31,8,
130860,2003-09-30,9,
130860,2003-10-31,10,
130860,2003-11-30,11,
130860,2003-12-31,12,0.5819848234863509
130860,2004-01-31,1,
130860,2004-02-29,2,
130860,2004-03-31,3,0.8614865494043816
130860,2004-04-30,4,
130860,2004-05-31,5,
130860,2004-06-30,6,
130860,2004-07-31,7,
130860,2004-08-31,8,
130860,2004-09-30,9,
130860,2004-10-31,10,0.5133168330357816
130860,2004-11-30,11,
130860,2004-12-31,12,-0.021803273372322796
130860,2005-01-31,1,
130860,2005-02-28,2,
130860,2005-03-31,3,1.914930520643162
130860,2005-04-30,4,
130860,2005-05-31,5,
130860,2005-06-30,6,
130860,2005-07-31,7,
130860,2005-08-31,8,
130860,2005-09-30,9,
130860,2005-10-31,10,
130860,2005-11-30,11,
