area,end_date,month,SPEI
Bitterroot,1991-01-31,1,0.6072062843669028
Bitterroot,1991-02-28,2,0.24485258374583418
Bitterroot,1991-03-31,3,-0.3263204200261114
Bitterroot,1991-04-30,4,0.1517287408924164
Bitterroot,1991-05-31,5,0.3252315751917283
Bitterroot,1991-06-30,6,0.12255596893959075
Bitterroot,1991-07-31,7,0.2955293473122762
Bitterroot,1991-08-31,8,-0.11419776795814518
Bitterroot,1991-09-30,9,-0.4481084761136771
Bitterroot,1991-10-31,10,-0.5524981117961134
Bitterroot,1991-11-30,11,0.41926453990630974
Bitterroot,1991-12-31,12,0.7670998686588087
Bitterroot,1992-01-31,1,0.24517509974127005
Bitterroot,1992-02-29,2,-0.32586588581152554
Bitterroot,1992-03-31,3,-1.100658163693907
Bitterroot,1992-04-30,4,-1.1628529368081777
Bitterroot,1992-05-31,5,-1.4331202060821457
Bitterroot,1992-06-30,6,-1.2802499590072065
Bitterroot,1992-07-31,7,-0.7248808410402117
Bitterroot,1992-08-31,8,-0.2897636888703168
Bitterroot,1992-09-30,9,-0.7977967576549393
Bitterroot,1992-10-31,10,-0.9780436243517745
Bitterroot,1992-11-30,11,-0.4218700177497132
Bitterroot,1992-12-31,12,0.14014794812102016
Bitterroot,1993-01-31,1,0.3105633580706828
Bitterroot,1993-02-28,2,-0.1731043698353545
Bitterroot,1993-03-31,3,0.21268831674493294
Bitterroot,1993-04-30,4,0.708657074779316
Bitterroot,1993-05-31,5,0.007204469209257214
Bitterroot,1993-06-30,6,0.4417711780438296
Bitterroot,1993-07-31,7,0.9737630099675719
Bitterroot,1993-08-31,8,1.3755778333767168
Bitterroot,1993-09-30,9,1.4072603577374003
Bitterroot,1993-10-31,10,1.3227936256380566
Bitterroot,1993-11-30,11,1.1071663063557935
Bitterroot,1993-12-31,12,1.0961088406781863
Bitterroot,1994-01-31,1,1.0155567278331874
Bitterroot,1994-02-28,2,0.8269194730636419
Bitterroot,1994-03-31,3,0.560747922382894
Bitterroot,1994-04-30,4,-0.04752075848904558
Bitterroot,1994-05-31,5,-1.0634693932532981
Bitterroot,1994-06-30,6,-1.4335580501167657
Bitterroot,1994-07-31,7,-1.4309023306134996
Bitterroot,1994-08-31,8,-1.4696253234337715
Bitterroot,1994-09-30,9,-1.3486478622550533
Bitterroot,1994-10-31,10,-0.7896050660576645
Bitterroot,1994-11-30,11,-0.4919365394624373
Bitterroot,1994-12-31,12,-0.9392125547827556
Bitterroot,1995-01-31,1,-0.8109720607270666
Bitterroot,1995-02-28,2,-0.7900562955706191
Bitterroot,1995-03-31,3,-0.5017861509520822
Bitterroot,1995-04-30,4,-0.19326456860219365
Bitterroot,1995-05-31,5,-0.16040973337313313
Bitterroot,1995-06-30,6,0.2671067492426531
Bitterroot,1995-07-31,7,0.9805948431055487
Bitterroot,1995-08-31,8,0.9017428594024022
Bitterroot,1995-09-30,9,1.069563517810483
Bitterroot,1995-10-31,10,1.5523088272081844
Bitterroot,1995-11-30,11,2.2175843032941223
Bitterroot,1995-12-31,12,2.1827497249841885
Bitterroot,1996-01-31,1,2.217309571980714
Bitterroot,1996-02-29,2,2.3521035768283127
Bitterroot,1996-03-31,3,2.4323916040504217
Bitterroot,1996-04-30,4,2.4034489448760334
Bitterroot,1996-05-31,5,2.33174604702688
Bitterroot,1996-06-30,6,2.0895018501708984
Bitterroot,1996-07-31,7,1.9201661938920527
Bitterroot,1996-08-31,8,1.7432666549542497
Bitterroot,1996-09-30,9,1.382437117750856
Bitterroot,1996-10-31,10,1.5238916801153894
Bitterroot,1996-11-30,11,1.2853898637294021
Bitterroot,1996-12-31,12,1.5511743466601078
Bitterroot,1997-01-31,1,1.716046496908167
Bitterroot,1997-02-28,2,1.6038644670035962
Bitterroot,1997-03-31,3,1.4228858824137958
Bitterroot,1997-04-30,4,1.7202606317802926
Bitterroot,1997-05-31,5,1.688544086836064
Bitterroot,1997-06-30,6,1.6533837649484102
Bitterroot,1997-07-31,7,1.8547302211613539
Bitterroot,1997-08-31,8,1.8585183190584735
Bitterroot,1997-09-30,9,2.1111455070706073
Bitterroot,1997-10-31,10,1.8228484085530907
Bitterroot,1997-11-30,11,1.4950302468297147
Bitterroot,1997-12-31,12,1.293717071083322
Bitterroot,1998-01-31,1,1.0629123503429025
Bitterroot,1998-02-28,2,0.7265079688262219
Bitterroot,1998-03-31,3,0.6477579086130364
Bitterroot,1998-04-30,4,0.518812838134024
Bitterroot,1998-05-31,5,0.34695386817365725
Bitterroot,1998-06-30,6,0.6972821907196244
Bitterroot,1998-07-31,7,0.8539512764671352
Bitterroot,1998-08-31,8,0.4107783767959061
Bitterroot,1998-09-30,9,0.7261630297103121
Bitterroot,1998-10-31,10,0.869883837972164
Bitterroot,1998-11-30,11,1.0920286989936634
Bitterroot,1998-12-31,12,1.5992840106941466
Bitterroot,1999-01-31,1,1.6141661432458503
Bitterroot,1999-02-28,2,1.8067932143730285
Bitterroot,1999-03-31,3,1.574921162983938
Bitterroot,1999-04-30,4,0.8686866780362651
Bitterroot,1999-05-31,5,0.547781185086567
Bitterroot,1999-06-30,6,0.6879018918985623
Bitterroot,1999-07-31,7,0.5224998793792663
Bitterroot,1999-08-31,8,0.881170550283816
Bitterroot,1999-09-30,9,0.3884350589468599
Bitterroot,1999-10-31,10,-0.33916385052348175
Bitterroot,1999-11-30,11,-0.4884698994561787
Bitterroot,1999-12-31,12,-0.7439213059528873
Bitterroot,2000-01-31,1,-0.3335359468115502
Bitterroot,2000-02-29,2,0.041458426294195494
Bitterroot,2000-03-31,3,-0.18615185486689034
Bitterroot,2000-04-30,4,-0.6472898027421345
Bitterroot,2000-05-31,5,-0.5100730353709315
Bitterroot,2000-06-30,6,-1.018296475084121
Bitterroot,2000-07-31,7,-1.0373631706649942
Bitterroot,2000-08-31,8,-0.9112698455853689
Bitterroot,2000-09-30,9,-0.7997001418514955
Bitterroot,2000-10-31,10,-0.7256234025774224
Bitterroot,2000-11-30,11,-1.3335135298285374
Bitterroot,2000-12-31,12,-2.1132837875224446
Bitterroot,2001-01-31,1,-2.2527835202270947
Bitterroot,2001-02-28,2,-2.3244632646031596
Bitterroot,2001-03-31,3,-1.8889259794026612
Bitterroot,2001-04-30,4,-1.6637520750593149
Bitterroot,2001-05-31,5,-1.8216585568739394
Bitterroot,2001-06-30,6,-1.0533668945996486
Bitterroot,2001-07-31,7,-1.1016318476344775
Bitterroot,2001-08-31,8,-1.5649201697035955
Bitterroot,2001-09-30,9,-1.559810894846537
Bitterroot,2001-10-31,10,-1.0240683058497306
Bitterroot,2001-11-30,11,-0.7682925774542597
Bitterroot,2001-12-31,12,-0.584722437120968
Bitterroot,2002-01-31,1,-0.13455562875199623
Bitterroot,2002-02-28,2,-0.4913879413465956
Bitterroot,2002-03-31,3,-0.003388988165311302
Bitterroot,2002-04-30,4,-0.31727992151730566
Bitterroot,2002-05-31,5,-0.40598016049342345
Bitterroot,2002-06-30,6,0.07702641785209607
Bitterroot,2002-07-31,7,0.3264965680585761
Bitterroot,2002-08-31,8,0.16406285085455918
Bitterroot,2002-09-30,9,0.46173198696452844
Bitterroot,2002-10-31,10,0.16133746575696684
Bitterroot,2002-11-30,11,-0.32133263072546603
Bitterroot,2002-12-31,12,-0.3120651011444746
Bitterroot,2003-01-31,1,-0.09601352991829537
Bitterroot,2003-02-28,2,0.20565422960913593
Bitterroot,2003-03-31,3,0.7034541399440304
