area,start_date,end_date,value
Bitterroot,1981-01-01,1981-01-31,32.84372068941593
Gallatin,1981-01-01,1981-01-31,2.4317714404314756
Paradise Valley,1981-01-01,1981-01-31,13.816520480439067
Bitterroot,1981-02-01,1981-02-28,110.6279246211052
Gallatin,1981-02-01,1981-02-28,26.524879917502403
Paradise Valley,1981-02-01,1981-02-28,60.84590370953083
Bitterroot,1981-03-01,1981-03-31,57.49690520763397
Gallatin,1981-03-01,1981-03-31,30.427339054644108
Paradise Valley,1981-03-01,1981-03-31,38.870827220380306
Bitterroot,1981-04-01,1981-04-30,79.51734906435013
Gallatin,1981-04-01,1981-04-30,42.21067667007446
Paradise Valley,1981-04-01,1981-04-30,58.46794684790075
Bitterroot,1981-05-01,1981-05-31,109.57067451626062
Gallatin,1981-05-01,1981-05-31,156.24713842384517
Paradise Valley,1981-05-01,1981-05-31,156.24713842384517
Bitterroot,1981-06-01,1981-06-30,149.3288570791483
Gallatin,1981-06-01,1981-06-30,78.35353156924248
Paradise Valley,1981-06-01,1981-06-30,113.71656288765371
Bitterroot,1981-07-01,1981-07-31,39.1302894204855
Gallatin,1981-07-01,1981-07-31,24.185667738318443
Paradise Valley,1981-07-01,1981-07-31,27.84709181636572
Bitterroot,1981-08-01,1981-08-31,20.399898558855057
Gallatin,1981-08-01,1981-08-31,10.819480195641518
Paradise Valley,1981-08-01,1981-08-31,17.16029880195856
Bitterroot,1981-09-01,1981-09-30,44.309317111968994
Gallatin,1981-09-01,1981-09-30,27.432699223980308
Paradise Valley,1981-09-01,1981-09-30,24.9841323569417
Bitterroot,1981-10-01,1981-10-31,55.83530177734792
Gallatin,1981-10-01,1981-10-31,49.79851412028074
Paradise Valley,1981-10-01,1981-10-31,59.439678601920605
Bitterroot,1981-11-01,1981-11-30,98.3759016469121
Gallatin,1981-11-01,1981-11-30,24.119579896330833
Paradise Valley,1981-11-01,1981-11-30,58.270860608667135
Bitterroot,1981-12-01,1981-12-31,165.45569697022438
Gallatin,1981-12-01,1981-12-31,15.960576377809048
Paradise Valley,1981-12-01,1981-12-31,100.0876492485404
Bitterroot,1982-01-01,1982-01-31,192.24832494650036
Gallatin,1982-01-01,1982-01-31,17.91512643545866
Paradise Valley,1982-01-01,1982-01-31,100.40348455682397
Bitterroot,1982-02-01,1982-02-28,129.08763818442822
Gallatin,1982-02-01,1982-02-28,15.480816945433617
Paradise Valley,1982-02-01,1982-02-28,54.817100673913956
Bitterroot,1982-03-01,1982-03-31,106.35936331003904
Gallatin,1982-03-01,1982-03-31,57.74824897199869
Paradise Valley,1982-03-01,1982-03-31,86.53467525541782
Bitterroot,1982-04-01,1982-04-30,101.1448029242456
Gallatin,1982-04-01,1982-04-30,54.53510504961014
Paradise Valley,1982-04-01,1982-04-30,101.59418314322829
Bitterroot,1982-05-01,1982-05-31,65.60546910762787
Gallatin,1982-05-01,1982-05-31,74.89502257108688
Paradise Valley,1982-05-01,1982-05-31,65.73239433765411
Bitterroot,1982-06-01,1982-06-30,65.02812454104424
Gallatin,1982-06-01,1982-06-30,88.48766063153744
Paradise Valley,1982-06-01,1982-06-30,88.48766063153744
Bitterroot,1982-07-01,1982-07-31,46.75073037855327
Gallatin,1982-07-01,1982-07-31,30.185955330729485
Paradise Valley,1982-07-01,1982-07-31,53.757679618895054
Bitterroot,1982-08-01,1982-08-31,25.41142240166664
Gallatin,1982-08-01,1982-08-31,26.9138493090868
Paradise Valley,1982-08-01,1982-08-31,33.88862195611
Bitterroot,1982-09-01,1982-09-30,67.96471163630486
Gallatin,1982-09-01,1982-09-30,71.39229179173708
Paradise Valley,1982-09-01,1982-09-30,71.39229179173708
Bitterroot,1982-10-01,1982-10-31,69.92526748776436
Gallatin,1982-10-01,1982-10-31,28.805729226674885
Paradise Valley,1982-10-01,1982-10-31,56.011834061238915
Bitterroot,1982-11-01,1982-11-30,57.05217516422272
Gallatin,1982-11-01,1982-11-30,10.21491827070713
Paradise Valley,1982-11-01,1982-11-30,32.03390022367239
Bitterroot,1982-12-01,1982-12-31,125.58146222680807
Gallatin,1982-12-01,1982-12-31,36.11928150057793
Paradise Valley,1982-12-01,1982-12-31,70.44923523440957
