gwicid,date,daily_average,method,agency
242770,2008-04-02,17.63,DAILY AVERAGE,MBMG
242770,2008-05-07,17.97,DAILY AVERAGE,MBMG
242770,2008-06-02,15.81,DAILY AVERAGE,MBMG
242770,2008-06-30,15.16,DAILY AVERAGE,MBMG
242770,2008-08-04,14.76,DAILY AVERAGE,MBMG
242770,2008-08-29,14.93,DAILY AVERAGE,MBMG
242770,2008-09-30,15.92,DAILY AVERAGE,MBMG
242770,2008-10-29,16.74,DAILY AVERAGE,MBMG
242770,2009-05-04,17.02,DAILY AVERAGE,MBMG
242770,2009-06-01,16.22,DAILY AVERAGE,MBMG
242770,2009-07-01,14.66,DAILY AVERAGE,MBMG
242770,2009-07-17,14.51,DAILY AVERAGE,MBMG
242770,2009-08-04,13.85,DAILY AVERAGE,MBMG
242770,2009-09-01,14.68,DAILY AVERAGE,MBMG
242770,2009-10-05,15.44,DAILY AVERAGE,MBMG
242770,2009-11-04,17.34,DAILY AVERAGE,MBMG
242770,2010-06-01,16.49,DAILY AVERAGE,MBMG
242770,2010-07-01,15.54,DAILY AVERAGE,MBMG
242770,2010-08-02,14.18,DAILY AVERAGE,MBMG
242770,2010-09-01,14.4,DAILY AVERAGE,MBMG
242770,2010-10-04,15.35,DAILY AVERAGE,MBMG
242770,2010-11-01,16.51,DAILY AVERAGE,MBMG
242770,2011-06-03,16.67,DAILY AVERAGE,MBMG
242770,2011-07-05,15.1,DAILY AVERAGE,MBMG
242770,2011-10-04,15.81,DAILY AVERAGE,MBMG
242770,2012-07-03,15.44,DAILY AVERAGE,MBMG
242770,2012-08-02,14.82,DAILY AVERAGE,MBMG
242770,2012-09-05,14.99,DAILY AVERAGE,MBMG
242770,2012-10-04,15.54,DAILY AVERAGE,MBMG
242770,2012-11-08,17.17,DAILY AVERAGE,MBMG
242770,2013-06-04,15.41,DAILY AVERAGE,MBMG
242770,2013-07-03,14.1,DAILY AVERAGE,MBMG
242770,2013-08-02,15.41,DAILY AVERAGE,MBMG
242770,2013-09-04,16.53,DAILY AVERAGE,MBMG
242770,2013-10-08,16.43,DAILY AVERAGE,MBMG
242770,2014-06-04,16.11,DAILY AVERAGE,MBMG
242770,2014-07-02,14.78,DAILY AVERAGE,MBMG
